Contributor,Category,Occupation,Date,Amount,Recipient
"BEZOS, JEFFREY	 BELLEVUE, WA 98009",Money to Candidates,AMAZON,03-31-2003,"$1,000.00","Murray, Patty (D)"
"BEZOS, JEFFREY	 SEATTLE, WA 98109",Money to PACs,AMAZON CORPORATE LLC,11-10-2014,"$5,000.00",Amazon.com
"BEZOS, JEFFREY	 BELLEVUE, WA 98009",Money to PACs,AMAZON.COM HOLDINGS INC.,03-09-2016,"$5,000.00",Blue Origin
"BEZOS, JEFFREY	 BELLEVUE, WA 98009",Money to Candidates,AMAZON.COM,03-17-2014,"$2,600.00","Murray, Patty (D)"
"BEZOS, JEFFREY	 BELLEVUE, WA 98009",Money to Candidates,AMAZON.COM,06-19-2009,"$2,400.00","Murray, Patty (D)"
"BEZOS, JEFFREY	 BELLEVUE, WA 98009",Money to Candidates,AMAZON.COM,06-19-2009,"$4,800.00","Murray, Patty (D)"
"BEZOS, JEFFREY	 BELLEVUE, WA 98009",Money to Candidates,AMAZON,03-31-2003,"$1,000.00","Murray, Patty (D)"
"BEZOS, JEFFREY	 BELLEVUE, WA 98009",Money to Candidates,AMAZON.COM INC,04-04-2001,"$1,000.00","Cantwell, Maria (D)"
"BEZOS, JEFFREY	 BELLEVUE, WA 98009",Money to Candidates,AMAZON.COM INC,04-04-2001,"$1,000.00","Cantwell, Maria (D)"
"BEZOS, JEFFREY	 BELLEVUE, WA 98009",Money to PACs,AMAZON.COM HOLDINGS INC.,07-18-2017,"$5,000.00",Blue Origin
"BEZOS, JEFFREY	 BELLEVUE, WA 98009",Money to PACs,AMAZON.COM HOLDINGS INC.,04-07-2015,"$5,000.00",Blue Origin
"BEZOS, JEFFREY	 BELLEVUE, WA 98009",Money to Candidates,AMAZON.COM,09-17-2018,"$2,700.00","Gardner, Cory (R)"
"BEZOS, JEFFREY	 BELLEVUE, WA 98009",Money to Candidates,AMAZON.COM,09-17-2018,"$2,700.00","Gardner, Cory (R)"
"BEZOS, JEFFREY	 SEATTLE, WA 98109",Money to PACs,AMAZON CORPORATE LLC,12-17-2015,"$5,000.00",Amazon.com
"BEZOS, JEFFREY	 SEATTLE, WA 98109",Money to PACs,AMAZON CORPORATE LLC,08-17-2016,"$5,000.00",Amazon.com
"BEZOS, JEFFREY	 BELLEVUE, WA 98009",Money to PACs,AMAZON.COM HOLDINGS INC.,02-18-2014,"$5,000.00",Blue Origin
"BEZOS, JEFFREY	 SEATTLE, WA 98109",Money to PACs,AMAZON CORPORATE LLC,12-18-2013,"$5,000.00",Amazon.com
"BEZOS, JEFFREY	 SEATTLE, WA 98109",Money to PACs,"AMAZON.COM SERVICES, INC.",07-31-2018,"$5,000.00",Amazon.com
"BEZOS, JEFFREY	 BELLEVUE, WA 98009",Money to Candidates,AMAZON.COM,10-16-2000,"$1,000.00","Abraham, Spencer (R)"
"BEZOS, JEFFREY	 BELLEVUE, WA 98009",Money to Candidates,AMAZON.COM,06-19-2009,"-$2,400.00","Murray, Patty (D)"
"BEZOS, JEFFREY	 BELLEVUE, WA 98009",Money to Candidates,AMAZON.COM,03-17-2014,"$2,600.00","Murray, Patty (D)"
"BEZOS, JEFFREY	 SEATTLE, WA 98109",Money to PACs,AMAZON CORPORATE LLC,10-27-2017,"$5,000.00",Amazon.com
"BEZOS, JEFFREY P	 BELLEVUE, WA 98009",Money to Candidates,AMAZON.COM,08-31-2017,"$2,700.00","Hatch, Orrin G (R)"
"BEZOS, JEFFREY P	 BELLEVUE, WA 98009",Money to PACs,AMAZON.COM HOLDINGS INC.,03-12-2007,"$5,000.00",Amazon.com
"BEZOS, JEFFREY P	 BELLEVUE, WA 98009",Money to PACs,AMAZON.COM HOLDINGS INC.,11-30-2010,"$5,000.00",Amazon.com
"BEZOS, JEFFREY P	 BELLEVUE, WA 98009",Money to PACs,AMAZON.COM HOLDINGS INC.,11-15-2005,"$5,000.00",Amazon.com
"BEZOS, JEFFREY P	 BELLEVUE, WA 98009",Money to Candidates,AMAZON,09-30-2015,"$2,700.00","Chaffetz, Jason (R)"
"BEZOS, JEFFREY P	 SEATTLE, WA 98121",Money to Candidates,AMAZON.COM,01-18-1998,"$1,000.00","Leahy, Patrick (D)"
"BEZOS, JEFFREY P	 BELLEVUE, WA 98009",Money to Candidates,,02-26-2018,"-$2,700.00","Hatch, Orrin G (R)"
"BEZOS, JEFFREY P	 BELLEVUE, WA 98009",Money to PACs,AMAZON.COM HOLDINGS INC.,12-02-2004,"$5,000.00",Amazon.com
"BEZOS, JEFFREY P	 BELLEVUE, WA 98009",Money to PACs,AMAZON.COM HOLDINGS INC.,10-29-2003,"$5,000.00",Amazon.com
"BEZOS, JEFFREY P	 BELLEVUE, WA 98009",Money to PACs,AMAZON.COM HOLDINGS INC.,11-17-2011,"$5,000.00",Amazon.com
"BEZOS, JEFFREY P	 BELLEVUE, WA 98009",Money to PACs,AMAZON.COM HOLDINGS INC.,12-24-2012,"$5,000.00",Amazon.com
"BEZOS, JEFFREY P	 BELLEVUE, WA 98009",Money to Candidates,AMAZON.COM,10-08-2000,"$1,000.00","Gorton, Slade (R)"
"BEZOS, JEFFREY P	 BELLEVUE, WA 98009",Money to PACs,AMAZON.COM HOLDINGS INC.,11-18-2008,"$5,000.00",Amazon.com
"BEZOS, JEFFREY P	 SEATTLE, WA 98121",Money to Candidates,AMAZON.COM,01-18-1998,"$1,000.00","Leahy, Patrick (D)"
"BEZOS, JEFFREY MR	 BELLEVUE, WA 98009",Money to Candidates,"AMAZON.COM, INC.",06-14-2005,"$2,100.00","Cantwell, Maria (D)"
"BEZOS, JEFFREY P	 BELLEVUE, WA 98009",Money to PACs,AMAZON.COM HOLDINGS INC.,11-10-2006,"$5,000.00",Amazon.com
"BEZOS, JEFFREY MR	 BELLEVUE, WA 98009",Money to Candidates,"AMAZON.COM, INC.",06-14-2005,"$2,100.00","Cantwell, Maria (D)"
"BEZOS, JEFFREY P	 BELLEVUE, WA 98009",Money to PACs,AMAZON.COM HOLDINGS INC,09-29-2000,"$5,000.00",Amazon.com
"BEZOS, JEFFREY P	 BELLEVUE, WA 98009",Money to PACs,AMAZON.COM HOLDINGS INC./CEO,12-27-2002,"$5,000.00",Amazon.com
"BEZOS, JEFFREY P	 BELLEVUE, WA 98009",Money to PACs,AMAZON.COM HOLDINGS INC./CEO,12-21-2001,"$5,000.00",Amazon.com
"BEZOS, JEFFREY P	 BELLEVUE, WA 98009",Money to Candidates,AMAZON.COM,10-18-2000,"$1,000.00","Conyers, John Jr (D)"
"BEZOS, JEFFREY P	 BELLEVUE, WA 98009",Money to PACs,AMAZON.COM HOLDINGS INC.,08-31-2009,"$5,000.00",Amazon.com
"BEZOS, JEFFREY P	 BELLEVUE, WA 98009",Money to Candidates,AMAZON,09-30-2015,"$2,700.00","Chaffetz, Jason (R)"
"BEZOS, JEFFREY P	 KENT, WA 98032",Money to PACs,AMAZON.COM HOLDINGS INC.,02-12-2018,"$5,000.00",Blue Origin
"BEZOS, JEFFREY P	 BELLEVUE, WA 98009",Money to Candidates,AMAZON.COM,08-31-2017,"$2,700.00","Hatch, Orrin G (R)"
